0x0000,0x0021,0x0022,0x0023,0x0024,0x0025,0x0026,0x0027,0x0028,0x0029,0x002a,0x002b,0x002c,0x002d,0x002e,0x002f,0x0030,0x0031,0x0032,0x0033,0x0034,0x0035,0x0036,0x0037,0x0038,0x0039,0x003a,0x003b,0x003c,0x003d,0x003e,0x003f,0x0040,0x0041,0x0042,0x0043,0x0044,0x0045,0x0046,0x0047,0x0048,0x0049,0x004a,0x004b,0x004c,0x004d,0x004e,0x004f,0x0050,0x0051,0x0052,0x0053,0x0054,0x0055,0x0056,0x0057,0x0058,0x0059,0x005a,0x005b,0x005c,0x005d,0x005e,0x005f,0x0060,0x0061,0x0062,0x0063,0x0064,0x0065,0x0066,0x0067,0x0068,0x0069,0x006a,0x006b,0x006c,0x006d,0x006e,0x006f,0x0070,0x0071,0x0072,0x0073,0x0074,0x0075,0x0076,0x0077,0x0078,0x0079,0x007a,0x007b,0x007c,0x007d,0x007e
0x0021,0.0000,6.5237,28.5188,47.2479,185.6840,67.2770,2.7720,1.8180,2.6775,13.9345,5.5976,2.8609,16.8396,4.1290,1.8284,3.4256,1.1731,3.2553,3.0318,1.4631,5.2358,3.9273,1.3912,6.0843,2.1848,1.6219,0.7853,31.9609,33.3658,36.8967,5.7296,80.9816,5.7737,2.4025,2.8723,4.0082,3.0603,8.6221,10.2793,2.0937,0.7594,1.9704,4.2492,3.4776,1.7358,2.8689,3.7163,4.3592,9.5646,4.6795,1.3007,0.9638,3.0887,3.8232,7.5830,5.1455,3.0503,1.5210,1.6976,1.3495,2.9655,48.1044,141.1123,2.0026,7.4418,4.8004,4.7883,5.1391,7.2267,0.7807,1.2434,6.0421,1.0034,0.6295,7.0739,0.7227,6.7072,9.5979,10.6088,5.0601,5.2787,7.5670,7.0119,1.7338,9.5915,9.9687,10.7526,5.7308,1.2502,5.9357,11.7773,0.2318,21.4328,79.5434
0x0022,6.5237,0.0000,451.9536,116.4109,313.0333,387.5036,1.0218,57.0017,89.4251,3.7061,46.7081,2.5534,2.1131,1.1635,398.0824,1.7109,2.2384,3.2092,1.0781,2.9879,1.8683,2.2778,3.8274,1.9546,2.1043,25.7459,69.4523,41.1945,77.2865,33.2120,77.2680,331.5831,4.5188,3.8990,5.8468,2.5577,1.2621,2.2993,1.8123,3.4918,1.7834,4.3741,6.3312,4.3879,4.6660,3.7909,1.6276,3.2058,2.2267,8.7407,1.5015,3.9720,1.2757,4.2948,12.6512,8.1869,2.8871,2.7829,202.9566,301.0786,168.0623,14.7892,27.1634,0.8262,1.2569,3.6121,1.2137,2.7792,4.4791,2.5609,1.0882,2.9994,3.8214,3.9593,4.7731,4.0200,2.0068,2.2234,2.4365,2.5518,2.2318,1.6384,2.4639,2.8158,1.5489,3.9185,0.5693,0.5308,5.7775,0.4319,439.9440,74.9912,343.7342,8.2703
0x0023,28.5188,451.9536,0.0000,2.6614,5.4166,12.9135,7.9814,8.4104,5.8554,0.9084,1.4927,15.1073,20.9936,3.7527,0.6443,15.0687,19.5708,2.9062,8.4006,9.8592,5.5113,4.0447,17.8619,6.0654,5.5989,3.5448,6.0710,9.5294,5.3787,4.5735,5.9646,6.4694,6.0263,7.7348,3.7075,5.6884,4.6121,23.9567,8.3456,5.7018,7.3562,14.3853,4.1290,29.9791,5.8681,9.0139,5.2719,8.7110,5.1114,14.5362,2.9629,13.5171,5.0061,16.6411,3.7946,4.8420,12.9710,4.2699,3.5723,2.1295,6.7489,5.1652,6.9458,6.1818,6.6663,9.2005,10.9596,6.3737,6.9580,8.6878,3.0224,13.3471,20.0851,29.1378,8.9673,38.4424,8.0144,13.3989,5.2870,7.7048,6.1881,53.6576,16.1990,5.5763,7.8827,31.8185,4.6069,8.2374,9.8537,10.0674,8.7359,3.1545,14.7997,8.3596
0x0024,47.2479,116.4109,2.6614,0.0000,1.4804,4.7327,3.6066,2.1992,2.3931,0.9417,4.1138,3.7284,13.7929,2.4836,4.9876,4.6548,18.1440,4.7224,5.8289,3.5450,2.1834,3.1779,36.9753,2.1109,4.9315,1.9007,1.6474,2.7350,1.6718,1.7091,3.3923,12.2860,5.9657,5.6575,2.4582,7.2852,4.2204,10.0095,2.5725,2.8952,8.3443,9.2759,5.0943,8.3762,3.9381,1.9300,3.7221,23.6941,3.1253,5.4566,1.4119,11.9920,6.1181,12.5606,5.0637,2.1038,17.5085,5.3265,4.9129,1.9194,6.4146,5.6362,8.9508,1.7482,10.5925,6.1294,7.8297,9.9278,11.5990,7.9915,5.3702,3.6903,8.3492,9.8656,4.5328,36.7811,20.7674,7.3267,7.1723,4.1494,4.5139,54.6506,2.2897,11.2184,12.5661,17.2670,6.1628,5.2572,3.8402,14.6407,8.8427,1.4162,7.3262,6.0751
0x0025,185.6840,313.0333,5.4166,1.4804,0.0000,4.3037,4.6788,5.2949,6.0959,0.1763,0.8130,2.2539,5.8941,3.3099,10.0092,2.7021,14.6157,5.2195,2.7792,8.2824,4.9990,5.4541,12.3575,2.4676,2.7091,9.1295,7.2180,5.3746,1.4442,5.2343,3.3382,14.4278,3.8874,1.9064,5.7548,3.6111,7.4580,17.7684,8.0742,1.3557,12.2771,10.2700,2.9202,14.8811,1.7275,2.2626,3.6847,28.9705,3.8773,3.3311,3.7550,18.1197,4.0058,5.8950,2.0092,4.2983,7.7475,5.9000,14.2194,0.5559,18.1211,3.3346,1.8995,5.5771,4.1231,8.7294,13.2083,8.7754,4.9117,32.7762,2.7734,2.8834,26.8754,30.8091,3.2674,16.3173,11.5407,10.8414,6.7775,9.4823,7.3989,109.8926,9.4039,5.3592,3.8756,20.6852,3.1637,7.1936,8.9459,19.2185,14.6205,12.8096,21.7506,1.0684
0x0026,67.2770,387.5036,12.9135,4.7327,4.3037,0.0000,7.6058,5.5807,1.6528,2.4603,2.7133,6.6930,12.7543,7.2129,5.7871,1.3389,7.1413,2.8303,5.8413,7.6957,2.0361,2.4770,21.4766,1.2947,1.2482,3.8551,1.4072,3.4157,2.1164,3.4565,3.8581,2.7665,7.2174,2.2809,2.7656,1.2166,1.3840,11.6782,1.3232,1.4172,15.0711,4.5920,3.0301,9.9798,3.8229,1.6145,0.7925,13.1825,1.0536,1.1282,0.8046,32.3154,2.7899,23.0573,8.0316,6.3797,20.3370,7.3100,6.5391,3.2004,2.1117,2.9831,3.8278,4.2573,2.3326,9.6937,12.8128,6.0544,10.7492,42.8215,2.5012,2.1280,13.4346,17.4242,5.4940,26.8810,16.0385,8.5589,4.0127,7.5194,5.3105,61.2752,4.4375,16.7952,4.8331,52.7732,14.5909,13.7572,6.2118,21.5228,4.7554,3.6820,2.7546,3.5282
0x0027,2.7720,1.0218,7.9814,3.6066,4.6788,7.6058,0.0000,616.2891,910.4134,290.6195,1157.0052,0.0553,16.7844,1.4740,6857.9346,2.7876,3.9829,3.7705,11.0115,2.5091,3.4694,2.7687,2.2365,3.7523,5.8694,130.3703,514.9764,1969.7885,446.6617,1993.4397,2294.6262,10165.7422,1.6345,8.1123,4.0499,3.2532,2.4426,5.1916,2.4889,2.5306,8.7068,1.8005,2.7237,1.3287,2.3450,2.5066,3.1259,6.3064,4.8211,4.6567,6.4735,7.6154,2.4659,1.1841,2.2015,3.6673,0.8501,3.2938,2136.1431,10991.5664,1083.9962,148.4419,299.9044,0.9875,6.4651,5.5288,2.8764,1.7547,2.7775,3.5468,7.4202,4.7447,7.6023,0.6206,13.5091,3.7178,2.6175,3.7148,4.0922,3.3833,3.1254,8.4731,3.6791,4.9042,2.0527,0.9230,8.6230,2.5168,0.6037,5.8111,3293.7087,1988.6959,4524.1348,96.5842
0x0028,1.8180,57.0017,8.4104,2.1992,5.2949,5.5807,616.2891,0.0000,16.4813,11.0312,4.4857,5.7840,3.7027,1.4100,1.1400,3.8738,2.6765,2.9464,2.8365,4.5512,3.2419,5.9544,4.9079,2.7839,4.3394,1.4420,2.7238,1.4710,26.0101,36.0980,11.6733,71.0288,4.2857,2.1116,1.7467,2.2964,2.1511,8.2065,10.8175,3.5282,1.0016,14.1703,2.4868,0.9415,2.0291,3.0631,4.7111,3.4918,4.9541,2.0456,5.9976,1.6103,2.3747,6.3653,7.2056,3.8372,3.2287,1.9037,0.1439,1.3826,25.9521,8.4003,48.0868,2.2412,6.1662,2.9758,6.5776,4.7029,25.8785,2.5527,1.3305,4.8510,1.8563,2.5923,4.6824,1.5627,17.2204,7.2770,15.3625,3.6373,4.8059,20.0330,15.5172,2.3816,9.2354,11.0491,6.7837,18.3282,6.4756,8.0632,0.1087,0.2513,37.6072,26.9371
0x0029,2.6775,89.4251,5.8554,2.3931,6.0959,1.6528,910.4134,16.4813,0.0000,9.5233,9.4437,0.5145,5.3646,2.0465,1.3963,4.8911,0.9238,3.1781,3.2792,2.0493,6.2029,3.8536,0.2655,2.5478,4.5450,2.9194,0.3379,22.6929,17.3903,3.0446,1.9722,23.5069,1.7583,4.6311,8.6544,4.6752,2.2277,5.3896,4.2316,5.9467,0.7611,0.9619,4.0957,7.4998,3.6407,3.6768,6.0904,7.7659,2.5852,5.5450,7.7726,0.3592,5.9747,2.1318,1.9104,4.8865,2.1104,1.5609,12.9065,1.4559,0.2525,10.9053,20.6278,2.8579,2.8367,2.4801,11.2131,2.1521,6.1480,13.4488,2.7834,4.7809,2.8673,0.3285,5.5185,2.6421,9.4689,6.7627,9.1693,4.4813,4.9990,31.3667,13.6484,7.6572,13.1947,4.3440,3.5960,11.2872,1.2444,4.4655,33.7760,0.3144,0.1449,25.1333
0x002a,13.9345,3.7061,0.9084,0.9417,0.1763,2.4603,290.6195,11.0312,9.5233,0.0000,3.9477,2.1422,3.5868,7.1639,37.7651,1.1683,5.7415,1.3029,1.7158,4.2990,1.4406,1.5106,2.5967,0.6615,1.1525,10.4067,15.4700,16.0512,8.9285,15.5971,15.2832,45.2237,1.0309,0.9645,3.3768,2.1250,1.6520,2.4510,2.7519,0.9208,7.2813,4.9209,1.6365,4.8186,1.3530,1.2278,1.3220,2.9036,2.1498,0.9888,0.9665,4.5691,1.5279,1.9047,1.6202,5.5887,2.1099,4.0930,45.1220,41.3674,21.7770,5.0151,4.2852,1.3947,0.8567,3.1049,2.2864,3.9000,1.5806,2.4649,1.5617,2.6885,3.4255,9.6349,1.1636,10.5265,2.1938,1.4520,1.7816,2.5059,2.7877,10.7487,4.4106,2.6962,2.8641,3.9456,1.2603,2.1348,2.0566,2.9774,37.2177,50.5648,28.6912,4.3258
0x002b,5.5976,46.7081,1.4927,4.1138,0.8130,2.7133,1157.0052,4.4857,9.4437,3.9477,0.0000,5.3366,4.7663,12.8290,23.8176,5.0352,16.6580,12.2598,8.8460,3.9290,8.4836,5.0114,15.7185,5.4978,4.5316,11.5592,7.5543,20.3248,31.0772,28.4748,10.2840,175.8013,6.7242,10.0059,8.4972,10.4840,10.3013,10.0605,5.5527,14.7365,21.5608,10.6867,7.3214,7.6573,5.1477,8.5328,6.3780,18.1913,8.6958,6.7479,6.5667,9.1484,14.3894,31.5254,14.0685,10.6957,8.2884,17.2380,15.6192,31.4575,25.1068,4.3672,4.0303,3.4052,9.5311,15.4073,10.6765,12.7185,10.4403,1.2122,7.0881,26.7977,9.4834,11.1242,3.3949,20.1436,6.9267,14.5737,6.9843,12.8818,10.5757,17.3096,5.1527,17.2657,23.9305,15.6021,10.2452,15.2716,11.9120,29.4204,22.8326,8.0919,38.8962,8.0021
0x002c,2.8609,2.5534,15.1073,3.7284,2.2539,6.6930,0.0553,5.7840,0.5145,2.1422,5.3366,0.0000,6.7157,0.2778,5308.8882,2.3529,2.0207,5.2180,4.1828,2.5584,3.8658,3.3497,1.2600,2.4639,3.3629,102.1930,280.4611,691.2028,115.9761,759.8883,624.7096,3403.7153,2.0062,2.6045,4.5958,2.4820,2.2281,5.1241,1.7801,4.5002,3.1764,1.1540,3.6652,3.5090,3.2231,2.1052,4.0423,4.7652,2.1735,3.1653,3.8310,4.8734,2.4534,1.7748,1.9776,2.2524,0.7812,2.5947,1056.5848,3853.7427,482.6938,82.1328,184.7203,0.4959,3.6046,4.7109,1.3180,1.1067,2.0082,4.0257,4.4092,1.0151,5.2255,1.0763,11.9386,2.0342,1.0132,1.9773,3.0968,3.5954,2.8558,8.0794,4.6538,3.4755,3.2995,1.8715,3.0320,2.8892,0.8495,3.2339,1500.7759,57.4819,1761.7024,58.9452
