0x0000,0x0021,0x0022,0x0023,0x0024,0x0025,0x0026,0x0027,0x0028,0x0029,0x002a,0x002b,0x002c,0x002d,0x002e,0x002f,0x0030,0x0031,0x0032,0x0033,0x0034,0x0035,0x0036,0x0037,0x0038,0x0039,0x003a,0x003b,0x003c,0x003d,0x003e,0x003f,0x0040,0x0041,0x0042,0x0043,0x0044,0x0045,0x0046,0x0047,0x0048,0x0049,0x004a,0x004b,0x004c,0x004d,0x004e,0x004f,0x0050,0x0051,0x0052,0x0053,0x0054,0x0055,0x0056,0x0057,0x0058,0x0059,0x005a,0x005b,0x005c,0x005d,0x005e,0x005f,0x0060,0x0061,0x0062,0x0063,0x0064,0x0065,0x0066,0x0067,0x0068,0x0069,0x006a,0x006b,0x006c,0x006d,0x006e,0x006f,0x0070,0x0071,0x0072,0x0073,0x0074,0x0075,0x0076,0x0077,0x0078,0x0079,0x007a,0x007b,0x007c,0x007d,0x007e
0x0021,0.0000,4.0502,122.1069,40.8419,82.9044,108.7974,5.6372,1.5440,2.9038,15.4012,31.4686,4.2987,17.8891,2.4206,0.1356,5.8996,1.8087,2.1064,2.6225,4.2220,2.3533,3.3139,4.4513,3.0373,2.8012,1.0791,0.8810,68.5914,52.4269,54.6595,5.4842,209.7872,4.6585,3.1334,2.1556,3.6662,3.7741,11.6216,3.7617,3.1860,0.1140,0.3100,3.1512,2.2638,2.7855,5.0575,1.3816,7.6989,2.3334,3.3904,3.0618,1.0465,1.5287,5.2187,5.1152,2.4741,2.7625,1.3992,1.6963,0.7173,3.5895,84.5284,91.5885,1.7393,6.9975,5.3683,3.8445,2.1400,4.9889,0.6088,1.8761,5.0201,0.1291,0.1547,4.5706,0.1142,8.3032,6.6997,9.2163,4.7877,5.3766,3.3708,3.3257,0.9596,6.9666,19.5103,12.3942,4.4678,1.7491,6.8840,12.4961,0.2121,18.0193,154.2607
0x0022,4.0502,0.0000,404.9383,130.3691,1932.9579,580.4227,1.1394,80.8484,68.8481,2.9907,102.4808,1.9516,3.1281,2.0464,111.0285,2.2449,2.2167,2.4488,1.4443,4.0435,2.3439,1.5955,4.7311,4.1306,3.4152,20.5744,37.4853,162.6514,78.5187,134.0325,105.2824,1580.6338,5.4135,4.6588,5.6919,5.7570,1.1313,1.9865,1.6086,10.0387,3.0652,1.8050,6.2827,6.3407,3.1310,8.8600,1.3974,3.0264,1.9542,11.2463,2.4167,3.8511,4.0949,4.4665,3.2118,6.8200,4.8608,6.9994,180.7218,136.6687,200.0893,43.6673,16.3380,0.9300,1.8417,1.8691,1.3786,6.8136,3.6869,3.6959,3.5401,3.6619,3.6299,6.7668,3.6354,3.6953,4.3086,0.9895,2.8307,4.2933,2.4001,2.7143,1.6949,2.4823,0.7295,2.4158,2.2867,1.4711,8.3743,0.8594,399.6093,55.4911,352.7295,19.7994
0x0023,122.1069,404.9383,0.0000,2.8211,7.9110,7.6035,10.2537,7.9837,8.7983,0.9993,2.7059,6.1251,15.2241,3.4401,0.8504,2.8209,33.8183,4.7276,4.9263,8.6851,7.0330,6.5153,21.7854,4.0869,7.5336,5.2104,4.2322,10.4854,5.3848,10.8042,5.4390,15.3992,8.1413,4.3693,2.2605,2.5258,8.2722,18.4645,4.6805,4.1947,46.6382,15.7447,3.5953,57.3955,3.5545,4.4904,2.3602,13.4084,2.3470,5.7872,8.0303,20.5488,3.3162,11.6812,2.7591,5.2279,14.6183,4.2617,5.0079,4.9611,6.0587,4.2144,3.1180,1.6173,11.2328,8.7672,14.2910,6.4764,14.5740,31.6665,4.6109,6.3689,58.7959,18.1351,12.7381,38.6108,4.8976,8.4938,3.8075,9.0464,4.6151,112.0160,21.8450,19.1804,12.6310,31.4103,5.6776,5.5075,12.3564,23.4347,15.8122,4.9316,9.8451,4.0144
0x0024,40.8419,130.3691,2.8211,0.0000,14.9485,3.9161,2.9055,1.8009,1.4741,1.5678,6.2771,9.5827,12.5770,4.7194,1.2458,3.5082,9.4172,4.6236,2.8184,5.6157,2.3547,2.3212,12.3705,3.6145,5.4931,4.0079,1.8371,7.4083,7.6001,4.9232,2.9562,23.1452,10.4147,5.4031,2.6755,2.1259,3.1068,10.5313,2.2654,2.6432,27.8279,13.3090,1.9098,8.9658,8.0828,1.7657,3.0742,16.6380,1.4899,6.1105,1.8556,25.6646,3.2479,8.4071,2.5089,4.3339,13.3783,3.8671,3.2853,0.8070,4.7449,5.9408,4.8962,2.7704,8.6769,4.6766,9.3054,9.0972,26.7171,21.2775,2.6195,5.8404,19.7006,5.1880,8.9736,19.5237,3.7703,4.4228,6.8502,7.5564,4.8998,67.3217,2.4081,10.3164,5.5451,12.4798,4.4575,7.7939,7.3530,18.3150,6.9733,2.2606,8.8570,12.8850
0x0025,82.9044,1932.9579,7.9110,14.9485,0.0000,2.6739,12.1169,2.9857,4.8276,1.5377,1.7328,16.5819,4.6218,12.6475,1.8819,17.2901,39.4804,8.9790,8.3696,73.3316,7.0379,9.6363,51.5377,8.4807,9.3066,6.2452,2.9837,4.4161,4.3713,3.0422,4.9163,4.2482,16.8009,5.7123,3.6336,2.3066,5.4826,35.6917,3.4696,2.2224,131.7483,40.4798,3.0738,63.5235,1.0820,2.8078,3.9460,39.9571,3.8965,7.2956,6.8449,57.6965,4.5149,29.1818,2.9019,3.1972,15.8478,4.6731,3.8508,0.6536,6.8813,2.8664,6.0030,6.6165,38.0592,12.9657,45.9009,15.2111,64.7868,77.0935,14.0363,17.9988,56.7611,43.6966,9.2709,74.4658,5.8783,29.3273,66.5741,18.5329,22.0804,382.6902,25.6424,78.2358,28.6538,81.0265,9.3238,18.3920,22.5700,32.8736,6.1284,4.9557,8.4243,4.4795
0x0026,108.7974,580.4227,7.6035,3.9161,2.6739,0.0000,8.2020,4.1458,1.5275,2.2099,2.5950,2.7439,3.5430,2.7952,2.8562,4.1384,14.5617,7.6115,5.2326,13.2617,6.1200,1.9248,26.5822,2.6673,1.6920,4.1273,3.1455,4.1393,2.0753,4.2919,2.7066,8.8259,7.0120,3.9614,2.4361,2.2707,3.5064,14.5781,1.9204,4.1580,93.5498,19.9707,4.0488,13.0558,5.4161,1.7479,0.8313,21.5955,1.7693,1.8118,2.1640,52.0726,2.5725,17.7795,2.9143,12.9598,41.8269,5.6648,4.3497,1.7918,5.0574,3.9303,2.7966,4.1961,4.2653,6.5133,20.5020,6.5260,16.7686,54.1746,4.4152,6.4738,184.7322,30.0863,11.5838,105.0411,3.1054,13.1268,4.9056,11.8036,7.5149,200.1695,13.4369,51.0806,11.2831,32.0639,9.3973,35.1255,13.1092,25.3526,6.9081,9.2791,3.3138,2.7915
0x0027,5.6372,1.1394,10.2537,2.9055,12.1169,8.2020,0.0000,947.2841,905.1427,306.2742,3652.3708,0.0571,20.3069,6.3580,4797.9092,1.5449,4.1768,7.8301,5.7341,3.3122,5.0315,9.5003,3.1049,2.4826,8.2675,92.0782,377.0944,4971.5576,792.4968,4684.1934,2131.9558,20940.8828,0.6046,3.9199,4.9994,1.8451,3.7366,13.8590,2.2157,3.3718,3.6168,2.9929,2.6290,0.9953,2.3820,2.6945,2.0529,18.1299,3.0409,12.4878,10.6866,18.2499,1.3507,1.8900,3.1634,2.3389,0.6306,18.0837,1151.8805,6782.7129,1085.6991,364.6761,176.0725,2.0748,5.9084,4.7525,3.8526,1.7331,2.6620,6.1142,5.8901,2.3976,4.0698,2.2617,11.9992,15.7483,1.0695,3.6893,4.3343,1.8398,1.8203,5.0024,5.8611,12.3103,3.5004,1.8554,1.9556,2.0937,0.6631,4.6941,4167.6831,1253.3323,4520.8662,153.0289
0x0028,1.5440,80.8484,7.9837,1.8009,2.9857,4.1458,947.2841,0.0000,19.0968,12.0726,22.7371,5.6723,6.3910,1.5161,1.1154,7.2684,3.5354,1.9945,5.3813,2.2527,3.4222,2.5517,11.4166,2.7010,6.5456,0.6995,1.0647,2.9191,54.8896,26.8971,13.1727,71.0062,2.5381,2.9819,1.9732,2.2788,4.7323,6.1455,8.8628,4.7176,1.9427,1.3302,4.2921,1.4423,4.0065,4.2262,2.0850,4.9918,1.7424,3.0693,4.0180,2.6387,3.3953,4.2023,3.4480,5.6262,6.3349,2.8214,0.3630,0.9482,8.8608,14.0444,25.8682,1.5111,5.1288,2.5435,5.9321,4.1966,32.9045,3.3539,2.4255,3.3677,1.1834,0.8599,5.0915,2.2651,8.9550,6.6443,10.3254,2.3484,7.5152,27.8070,7.7352,2.5476,10.5302,4.8645,7.6542,10.6644,8.2269,11.4403,0.1767,0.2503,41.7150,45.6554
0x0029,2.9038,68.8481,8.7983,1.4741,4.8276,1.5275,905.1427,19.0968,0.0000,11.7728,25.9718,6.3926,5.5322,1.0846,0.8779,6.3679,0.8325,3.6540,2.8878,2.8206,6.7933,3.9097,0.3397,3.3234,6.3519,1.4156,0.5049,30.1747,39.1772,7.7186,3.5654,86.2502,7.9630,4.3185,1.7775,5.7844,2.7678,9.7833,4.2627,7.3444,1.3900,0.0668,2.4841,7.7819,5.3955,7.0048,2.8392,7.3052,1.7791,8.0802,2.8337,0.8784,3.9068,3.7743,1.6541,4.3654,4.8129,2.8675,9.5731,1.2080,0.1477,8.2104,13.1013,1.3144,3.5613,5.1754,10.0444,1.8570,6.8511,11.5408,2.3580,2.6960,1.9449,0.0686,4.6547,1.7773,5.9980,13.7695,12.5018,3.8424,2.3338,26.1459,18.6376,22.0257,7.0305,6.0506,11.3004,10.5409,0.9556,5.0026,29.9299,1.5456,0.1454,32.6217
0x002a,15.4012,2.9907,0.9993,1.5678,1.5377,2.2099,306.2742,12.0726,11.7728,0.0000,9.0102,0.8737,3.6881,11.1307,40.9316,1.0435,3.5458,0.9138,1.5234,2.4851,1.3299,1.3516,2.2586,0.7439,1.0256,10.9057,19.5841,22.3353,11.1495,20.6877,14.7173,315.3580,0.7426,1.0256,1.9980,0.9993,1.4221,2.5140,2.6216,3.0115,10.6065,12.3444,2.1468,6.0172,1.9697,3.9676,1.7624,2.7461,2.0926,1.4526,1.1036,7.2458,0.9758,2.0489,1.5662,1.7023,2.4833,1.8646,64.2887,36.9223,38.5276,9.7651,2.4179,1.2918,1.0976,2.7241,1.7462,2.0601,1.8328,3.3301,1.7594,1.9630,13.0016,10.0977,1.2493,12.1218,2.9372,1.9454,1.4276,2.7679,2.8090,9.2327,1.7351,2.0574,2.3000,4.8381,0.9822,1.0309,2.2963,2.4200,51.6162,25.4045,50.7246,14.0970
