0x0000,0x0021,0x0022,0x0023,0x0024,0x0025,0x0026,0x0027,0x0028,0x0029,0x002a,0x002b,0x002c,0x002d,0x002e,0x002f,0x0030,0x0031,0x0032,0x0033,0x0034,0x0035,0x0036,0x0037,0x0038,0x0039,0x003a,0x003b,0x003c,0x003d,0x003e,0x003f,0x0040,0x0041,0x0042,0x0043,0x0044,0x0045,0x0046,0x0047,0x0048,0x0049,0x004a,0x004b,0x004c,0x004d,0x004e,0x004f,0x0050,0x0051,0x0052,0x0053,0x0054,0x0055,0x0056,0x0057,0x0058,0x0059,0x005a,0x005b,0x005c,0x005d,0x005e,0x005f,0x0060,0x0061,0x0062,0x0063,0x0064,0x0065,0x0066,0x0067,0x0068,0x0069,0x006a,0x006b,0x006c,0x006d,0x006e,0x006f,0x0070,0x0071,0x0072,0x0073,0x0074,0x0075,0x0076,0x0077,0x0078,0x0079,0x007a,0x007b,0x007c,0x007d,0x007e
0x2800,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000
0x2801,189.2109,243.7737,22613.9941,22688.9785,41846.1758,23867.4141,4.4018,1753.0280,1738.8092,1896.2365,12474.3682,2.3887,0.3996,0.1089,9811.7109,3775.5295,9696.7188,17438.3145,7184.7251,8592.1836,11006.7891,6393.0811,12051.5352,9060.7090,6723.4272,99.0435,301.8024,8153.8403,3135.1494,10864.2783,4295.8867,28572.1074,15715.0352,10069.7227,20058.5566,14832.1201,4794.1753,10851.7021,4078.2751,27540.5664,349.6722,4071.4565,30796.6582,16926.8398,61237.1992,31797.1211,10754.2871,9486.2637,10863.7021,21691.7070,12134.5479,19194.8633,9465.5264,16165.9258,64261.2227,37853.9805,19391.7344,30198.5273,2020.8615,10079.3164,2443.1492,757.1571,16.1671,1.5699,3622.5969,15531.8887,1812.3447,13297.7959,1444.6971,6050.9351,12192.4248,15903.8730,178.9072,2048.8184,16660.4316,153.9422,17122.6113,5441.0840,2615.6646,14027.0479,12836.9775,2653.2712,3860.1653,2877.3091,4138.9111,5425.8101,24458.4570,13989.5527,20333.6738,10893.9355,8056.7861,287.3135,6546.9468,97.8712
0x2802,148.4996,243.7588,25738.3301,24695.9258,44771.6523,23147.8457,4.4029,1731.9626,1865.6158,2038.0944,11945.2500,2.3887,0.3998,0.1089,6195.4658,2808.8369,8891.7764,15870.1914,6586.7402,12450.6172,7610.9189,5434.7363,9424.2764,7834.6377,6911.9302,88.7883,302.8262,8500.2549,2927.2292,11066.3066,4349.5503,29390.1602,24419.3652,10011.2920,16311.1074,6763.8867,6743.3530,7121.5356,3454.2959,28097.8828,180.3309,3548.6509,33494.1328,12740.5254,44912.9570,35883.9023,6828.3135,9985.3848,8319.7256,18879.4570,13364.2461,27658.3672,11079.1484,12081.1406,64164.6406,33904.2227,18570.6172,28074.0293,3557.2700,11324.3887,3563.6182,786.8242,15.4219,1.5699,4364.8481,11470.7070,1736.2662,15300.0596,1731.2601,5314.2241,9947.0312,13784.4131,212.0452,1952.3737,17237.2871,188.6981,18831.9336,5767.2266,2368.9351,9954.6660,11319.7119,2799.0078,3331.1807,2849.1284,3396.8982,6201.0366,20056.8164,13104.6367,19607.3711,8681.6221,7849.9688,502.2809,9111.4336,94.7012
0x2803,3.6202,8.2044,491.6957,362.8267,1618.8724,903.3683,7.0094,29.6304,44.3241,290.6235,234.0898,52.9433,7.2489,0.4052,22.3630,251.4054,48.3123,238.9458,189.1207,351.2172,401.8866,279.8018,299.1705,362.7558,219.1120,0.6895,1.2369,270.9211,42.5645,271.0412,52.0851,1403.1118,1043.0996,374.3405,1021.3229,785.4225,228.0979,508.9830,531.9978,466.5130,2.3939,85.8277,1435.9182,793.6904,1708.5795,887.1428,919.1666,478.3092,1150.9889,647.9869,413.8423,574.4750,700.9146,1225.8018,3048.4814,391.7979,496.5133,435.1793,82.7451,76.2830,49.3801,134.6740,118.0691,5.9827,106.6184,239.0107,117.5087,399.9788,76.7619,95.3797,291.7389,326.8250,3.7931,28.6337,460.0863,3.5060,617.0992,151.0601,96.7843,583.5318,199.5375,25.7257,86.6680,25.1902,170.0262,311.9159,1375.7056,592.4329,320.9553,79.0787,186.5216,15.2317,205.5925,145.8567
0x2804,157.9984,243.7589,22846.2422,25513.3457,62180.4609,28799.8555,4.4017,1792.4991,2885.0991,2056.5557,11649.3232,2.3887,0.3998,0.1093,9431.9570,3812.6812,10811.1846,17408.6328,6871.6772,8915.0928,7725.8105,9021.7715,11228.6055,7771.4800,7437.7837,88.5300,284.9663,9347.3857,3894.3945,9847.7627,4370.2363,35261.1250,20017.1719,8845.6855,18632.9082,14176.6191,5572.5864,9407.1436,4516.2710,30663.7617,218.0323,3818.0078,31836.0449,15273.6582,45546.7500,32090.4922,6824.9399,9933.0518,8524.5889,22901.2715,8995.2617,25544.2930,12568.6787,16690.3301,60463.1055,35566.2109,17571.4121,26366.6270,2834.7092,8617.2598,2196.1304,756.7797,13.0050,1.5699,3862.6880,12882.7881,3305.3584,12178.3379,1340.9868,5145.7095,12290.6514,13705.8740,174.0111,2672.4861,15406.7373,168.5465,13081.6699,4687.9438,2645.0803,11311.6426,12888.0205,2244.9631,2670.0171,3372.2390,3606.4385,5042.7803,24573.2227,12569.6475,18170.2227,8430.7305,9839.1260,504.9655,6894.8672,89.7216
0x2805,0.8258,11.1407,176.7402,58.0702,227.0096,85.7446,1.2556,5.2029,4.6737,28.9421,146.1264,2.1233,0.5830,0.1811,8.1054,50.1630,21.9334,24.7063,38.3956,71.6889,15.2317,20.0463,33.9806,17.1156,22.0932,0.0787,0.0776,44.9431,80.0478,60.2024,6.0270,248.6388,132.4190,44.1618,55.3189,97.1737,38.3563,105.9317,86.7894,30.0462,0.6722,9.5362,71.8067,97.5134,102.4467,58.5467,95.0945,107.2724,193.4560,77.2649,27.7141,64.9444,82.5689,199.6398,742.1995,85.9284,45.7737,54.3682,14.2524,12.0194,6.9868,133.7608,7.0856,1.4702,13.3305,90.2022,9.7899,94.7109,18.7835,15.6964,32.2846,115.8846,0.9289,14.0139,67.4938,0.7134,243.3664,48.8747,14.8616,143.3449,105.0917,5.8803,6.0175,14.7952,40.2696,111.4376,50.6185,47.5686,97.3723,29.2982,24.9061,4.8809,18.8446,67.2010
0x2806,5.6922,9.5893,797.5651,248.2108,1782.5665,869.1687,9.1152,21.0095,30.9603,145.6527,224.1348,19.3394,12.4297,0.4238,43.1238,273.6977,72.9455,174.2452,174.3064,585.6619,253.7037,271.9019,229.0690,306.3023,243.7597,0.4001,1.0244,295.3387,118.6740,119.1399,64.7404,1517.9159,1255.7062,404.1893,1112.9539,607.1379,246.0777,465.4376,491.5135,530.2062,2.0087,56.0817,1139.7657,656.9769,2149.4905,491.3344,617.4393,371.0970,1007.7374,418.8568,368.9871,695.2155,436.1173,1549.8440,2262.4734,419.4546,617.3190,596.4885,72.7550,30.9584,58.4208,78.5497,120.2484,5.5848,142.2358,363.5278,137.1854,263.7379,127.2999,86.7058,287.7983,235.5010,5.0424,45.1733,563.4671,2.0384,898.3510,81.8739,66.1264,177.7867,327.9166,13.5980,80.9794,32.2585,69.3524,72.1292,1270.9778,499.0096,355.0330,175.3189,182.4116,19.0030,236.9967,169.4977
0x2807,1.8915,3.9223,417.5451,110.7438,276.5431,48.5528,1.3730,12.4753,6.4972,22.1459,8.3399,3.1276,3.7007,0.5124,2.5777,74.0177,17.0414,38.6480,40.4670,69.0915,26.0665,41.8131,66.6001,79.2053,47.7710,0.7963,0.3187,88.6019,174.8169,51.4078,13.5498,245.1498,111.4294,74.4311,68.3967,45.0295,19.0549,54.7725,37.1209,104.6863,1.6165,11.7871,230.8049,83.8487,252.9285,161.2722,110.7049,113.8491,216.8074,102.6613,22.3381,88.4833,116.5018,135.8583,348.5609,196.5800,58.3150,69.1738,5.6448,5.5848,9.5816,66.3598,54.3229,3.8747,68.6779,112.6225,22.9529,186.5809,19.2760,14.4439,87.3432,78.7882,1.3120,4.0967,76.4146,1.1618,159.9432,58.2625,51.8111,149.9724,105.7628,16.7081,15.1558,30.8737,98.9856,50.5550,166.4698,96.4517,67.1638,29.3892,25.4692,2.8145,50.0347,41.3192
0x2808,187.0716,177.1511,24861.4453,19303.8535,40253.8203,24221.1484,4.3190,1849.8942,1919.2581,1862.8027,11052.2393,1.9896,0.3301,0.1125,8597.3115,2806.8623,6696.4116,15560.2256,7746.1870,9491.4180,10764.5293,4861.5820,9365.9395,7030.2832,7444.6416,93.2787,286.7234,7695.6841,3815.5803,9710.2275,4276.7539,26777.5078,14721.3818,8874.4775,15923.1553,12570.8994,7258.5576,8124.8062,3951.4380,30159.9863,161.0668,3894.8098,28455.8945,13777.9424,39236.5508,28084.1816,7526.9043,8150.3208,10126.2090,20240.5352,16022.9941,24001.3184,15610.5322,16039.7100,60095.2227,30178.6152,16849.7012,30740.2832,2125.4797,10861.9688,2943.0251,771.7126,11.8936,1.3574,3454.0396,12362.6201,1850.5780,17154.7793,1304.0125,5558.6309,10128.3828,15176.6689,158.3179,2151.5100,15705.1963,174.2135,15914.5264,3944.5989,2620.7817,7205.0356,12655.7812,2829.2039,2822.7131,2656.4338,3712.5935,5906.8271,26822.5410,13114.1250,19421.5742,8481.8506,7322.0459,229.8469,7532.8018,121.3888
0x2809,351.6114,5.2784,3147.3237,1220.5007,2198.9429,471.4773,3.9160,449.9511,422.1062,43.1910,181.8791,1.3814,0.6848,3.4251,475.9814,173.6998,1346.1252,365.6262,657.1199,503.3572,572.6550,350.2752,303.4095,477.8542,106.7615,111.7993,291.1295,192.1764,43.2035,118.5024,254.2557,1033.9418,304.3560,137.0193,824.1994,626.5659,390.2066,143.1411,176.8013,440.4444,225.4657,1149.5924,707.8539,829.7046,1798.6675,510.9120,404.2403,125.1501,618.9061,290.2535,376.7990,807.4959,354.4675,542.4460,2795.7896,783.9596,538.3830,342.4724,1120.2483,363.0466,1117.9125,21.3687,0.7112,1.8322,219.8875,289.0344,382.4262,178.4355,117.6109,380.2220,304.9958,99.2814,154.5684,628.3888,612.4183,179.6705,335.4830,97.1626,43.6475,329.9314,313.0017,250.4783,419.9294,242.5842,91.8818,106.3724,873.0079,404.8811,1111.6117,353.8270,1567.9990,301.4366,1027.3826,1.6105
